ISC 71-80,  Badadf,  Bgwkys,  Dxgxa,  Fuxtax,  Gfpumc,  Jhhm,  Jpow,  Kcax,  Kdkf,  Knrjuc,  Kskwi,  Kxxe,  Lwuzf,  Mvki,  Nepk,  Pdds,  Pndyf,  Qiqzn,  Snwid,  Sved,  Ucjm,  Udbgt,  Ukyq,  Wjrv,  Ynaysn,  Zfxe,  Zjmch,  Bmxhcu,  Sion,  Yrqqw,  Lzihpl,  Chienn,  Vugl,  Imkp,  Xxabu,  Quha,  Lxjh,  Vqahhq,  Dzct,  Rkfn,  Puycrw,  Zsvsib,  Wpruf,  Whuhqu,  Asmp,  Omoxmm,  Fwrtu,  Albfdc,  Ofnqni,  Mxkah,  Vcfpi,  Dwhr,  Vpnhw,  Fgmwbz,  Ldlszf
 Kskwi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.0133928571428, 22.9799107142857, 29.2299107142857, 26.9308035714286, 28.6383928571429, 23.1584821428571, 25.4575892857143, 28.3035714285714, 27.2767857142857, 26.8303571428571, 28.828125, 20.7477678571429, 35.0558035714286, 21.8526785714286, 32.5, 36.3839285714286, 35, 23.0915178571429, 27.8683035714286, 18.4933035714286, 26.2946428571429, 29.4642857142857, 21.2611607142857, 27.5669642857143, 23.0691964285714, 26.6964285714286, 27.0535714285714, 22.7901785714286, 28.8727678571429, 20.4129464285714, 21.7522321428571, 23.2366071428572, 22.2767857142857, 29.53125, 37.8571428571429, 23.2142857142857, 33.28125, 31.2165178571428, 25.2455357142857, 39.5870535714286, 32.1651785714286, 26.6183035714286, 27.109375, 18.4709821428571
 Kxxe, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.8102678571429, 25.1339285714286, 26.4508928571429, 26.640625, 24.4642857142857, 28.4486607142857, 25.7366071428571, 21.2165178571429, 26.7745535714286, 29.5982142857143, 25.6026785714286, 29.1183035714286, 21.4955357142857, 21.5736607142857, 20.8147321428572, 28.4040178571429, 27.8013392857143, 32.0200892857143, 21.3616071428571, 25.9040178571429, 22.2879464285714, 30.8147321428571, 26.0491071428571, 30.2232142857143, 16.5625, 18.7388392857143, 29.6875, 30.9151785714286, 24.5870535714286, 22.7232142857143, 25.7924107142857, 29.5982142857143, 23.125, 18.90625, 27.0647321428571, 33.7834821428571, 25.8258928571429, 23.7053571428571, 25.703125, 37.421875, 28.1026785714286, 30.2120535714286, 34.8214285714286
 Lwuzf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.6361607142857, 28.8169642857143, 32.421875, 20.5133928571429, 24.0290178571428, 29.9330357142857, 24.5982142857143, 32.8236607142857, 23.5825892857143, 28.3370535714286, 25.3236607142857, 30.7254464285714, 24.5870535714286, 32.2321428571429, 34.0513392857143, 27.8348214285714, 25.8035714285714, 29.7098214285714, 26.8861607142857, 37.1651785714286, 30.5691964285714, 22.2879464285714, 34.2522321428571, 16.9642857142857, 27.4330357142857, 23.8616071428572, 29.9441964285714, 26.0267857142857, 29.7098214285714, 28.1026785714286, 25.15625, 24.7321428571429, 35.9375, 28.7053571428571, 20.8258928571429, 22.1763392857143, 26.5848214285714, 32.2209821428571, 32.8794642857143, 37.7901785714286, 33.6607142857143, 28.9285714285714
 Mvki, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.7745535714286, 25.5580357142857, 20.4129464285714, 25.9598214285714, 34.140625, 23.9174107142857, 26.6071428571428, 23.1696428571429, 27.9910714285714, 25.8258928571429, 22.7901785714286, 23.5491071428571, 29.1964285714286, 25.1227678571429, 24.0625, 27.3214285714286, 24.4308035714286, 23.125, 25.46875, 21.1941964285714, 19.9330357142857, 29.5424107142857, 26.6629464285714, 19.0736607142857, 22.5, 16.71875, 20.9151785714286, 24.2410714285714, 31.8638392857143, 32.65625, 32.4665178571429, 19.921875, 15.1227678571429, 31.1160714285714, 37.9352678571428, 19.765625, 19.9665178571429, 27.5334821428571, 27.6227678571429, 23.4933035714286, 31.4285714285714
 Nepk, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.8571428571429, 16.5959821428571, 18.8169642857143, 28.5044642857143, 22.3660714285714, 25.5357142857143, 24.7767857142857, 22.1316964285714, 27.8236607142857, 25.1785714285714, 21.4397321428571, 28.3928571428571, 21.8973214285714, 22.0870535714286, 25.9263392857143, 29.2075892857143, 29.8995535714286, 23.4709821428571, 24.9665178571429, 18.2254464285714, 19.6875, 25.703125, 20.2455357142857, 28.1696428571429, 23.1584821428571, 22.8571428571429, 22.5669642857143, 20.625, 30.2678571428571, 28.2142857142857, 29.1294642857143, 21.1383928571429, 21.7299107142857, 25.46875, 17.2767857142857, 24.3415178571429, 25.7700892857143, 20.7589285714286, 25.5022321428571, 33.3705357142857
 Pdds, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.0133928571428, 27.3995535714286, 21.6629464285714, 28.046875, 27.5, 28.1361607142857, 25.859375, 35.0223214285714, 23.3147321428571, 25.9933035714286, 28.2142857142857, 28.8058035714286, 33.6049107142857, 23.828125, 26.171875, 26.5513392857143, 26.484375, 25.6808035714286, 23.9285714285714, 32.34375, 28.5491071428571, 28.3035714285714, 27.7566964285714, 24.6205357142857, 26.8973214285714, 24.0848214285714, 24.3861607142857, 30.1785714285714, 30.390625, 30.4910714285714, 34.1964285714286, 31.8080357142857, 27.0535714285714, 26.2053571428571, 33.2142857142857, 23.9732142857143, 28.0022321428571, 26.5178571428571, 43.125
 Pndyf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.2299107142857, 26.1272321428571, 29.2633928571429, 26.2276785714286, 20.390625, 26.1160714285714, 23.2254464285714, 26.7633928571429, 29.296875, 18.0915178571429, 31.4397321428571, 41.3727678571429, 20.6361607142857, 25.5691964285714, 30.4799107142857, 30.4799107142857, 29.2299107142857, 29.8995535714286, 30.390625, 32.2433035714286, 30.2120535714286, 26.3839285714286, 33.1138392857143, 25.4575892857143, 24.3303571428571, 22.34375, 23.1808035714286, 28.6383928571429, 35.8705357142857, 32.1875, 22.6674107142857, 24.3080357142857, 23.2924107142857, 22.4107142857143, 22.5558035714286, 22.6785714285714, 26.9642857142857, 19.765625
 Qiqzn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.9620535714286, 24.140625, 21.484375, 24.53125, 28.6607142857143, 30.9375, 19.453125, 20.9040178571429, 17.03125, 21.3950892857143, 33.0357142857143, 29.6986607142857, 30.9040178571429, 20.2455357142857, 22.2879464285714, 25.5803571428571, 23.0580357142857, 21.3950892857143, 28.0133928571429, 16.7410714285714, 22.0870535714286, 33.4598214285714, 24.2299107142857, 23.3482142857143, 25.2566964285714, 18.0357142857143, 19.1964285714286, 19.3303571428571, 23.3705357142857, 22.6116071428571, 25.3683035714286, 23.2589285714286, 18.59375, 25.5803571428571, 20.0892857142857, 25.6696428571429, 18.75
 Snwid, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.34375, 27.2209821428571, 24.4196428571428, 26.0267857142857, 25.3236607142857, 34.609375, 27.7790178571429, 24.4419642857143, 28.7053571428572, 26.875, 29.1964285714286, 30.2120535714286, 40.5357142857143, 30.5691964285714, 24.4196428571429, 24.375, 28.0580357142857, 24.1852678571428, 28.6941964285714, 25.1785714285714, 28.1138392857143, 36.1830357142857, 21.2276785714286, 23.046875, 32.5111607142857, 25.2455357142857, 27.6004464285714, 30.7142857142857, 31.8415178571429, 23.6941964285714, 23.0022321428571, 27.8236607142857, 30.7589285714286, 32.1763392857143, 30.2901785714286, 34.4642857142857
 Sved, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.7566964285714, 21.8415178571429, 22.2767857142857, 32.6897321428571, 26.2611607142857, 27.9017857142857, 21.25, 29.3191964285714, 26.1830357142857, 31.25, 21.7299107142857, 29.1741071428571, 25.5691964285714, 19.1517857142857, 26.1383928571429, 25.5245535714286, 29.6986607142857, 28.3370535714286, 22.6116071428571, 31.2388392857143, 30.0446428571428, 25.6138392857143, 24.8102678571428, 25.6696428571429, 25.234375, 27.5334821428571, 30.4129464285714, 24.3638392857143, 25.3459821428571, 22.3772321428571, 27.5223214285714, 19.4084821428571, 29.21875, 34.0848214285714, 19.8214285714286
