ISC 74, Badadf, Bgwkys, Chienn, Dwhr, Fgmwbz, Fwrtu, Gfpumc, Imkp, Jhhm, Knrjuc, Kskwi, Ldlszf, Lwuzf, Lxjh, Lzihpl, Ofnqni, Pndyf, Snwid, Ucjm, Udbgt, Ukyq, Vcfpi, Wjrv, Wpruf, Yrqqw, Zfxe, Zsvsib, Bmxhcu, Sion, Dxgxa, Nepk, Sved, Vugl, Xxabu, Quha, Vqahhq, Dzct, Kcax, Rkfn, Kxxe, Mvki, Puycrw, Whuhqu, Asmp, Omoxmm, Ynaysn, Jpow, Albfdc, Kdkf, Pdds, Fuxtax, Mxkah, Qiqzn, Vpnhw, Zjmch
Badadf, 0, 40.625, 54.4642857142857, 19.8660714285714, 47.7678571428571, 23.4375, 20.7589285714286, 40.625, 6.69642857142857, 22.7678571428571, 5.02232142857143, 42.4107142857143, 52.0089285714286, 38.8392857142857, 50, 19.3080357142857, 37.9464285714286, 0, 30.3571428571429, 29.9107142857143, 31.3616071428571, 26.3392857142857, 48.4375, 18.75, 9.82142857142857, 37.2767857142857, 11.9419642857143, 32.3660714285714, 51.7857142857143, 48.2142857142857, 57.3660714285714, 4.6875, 37.5, 31.4732142857143, 9.375, 34.8214285714286, 41.9642857142857, 33.4821428571429, 48.4375, 23.6607142857143, 46.4285714285714, 18.0803571428571, 23.4375, 49.1071428571429, 31.4732142857143, 16.9642857142857, 45.3125, 19.1964285714286, 36.1607142857143, 46.875, 51.7857142857143, 48.4375, 50.2232142857143, 46.2053571428571, 37.0535714285714
Bgwkys, 40.625, 0, 11.8303571428571, 1.33928571428571, 27.4553571428571, 25, 16.2946428571429, 14.9553571428571, 7.47767857142857, 37.5, 25.4464285714286, 63.3928571428571, 26.5625, 44.6428571428571, 52.0089285714286, 27.0089285714286, 26.7857142857143, 0.558035714285714, 3.23660714285714, 18.8616071428571, 40.9598214285714, 33.7053571428571, 24.7767857142857, 2.45535714285714, 25, 8.03571428571428, 7.92410714285714, 7.47767857142857, 14.7321428571429, 26.5625, 18.5267857142857, 14.6205357142857, 15.0669642857143, 34.375, 28.90625, 26.6741071428571, 28.7946428571429, 50.2232142857143, 26.7857142857143, 31.3616071428571, 20.6473214285714, 14.7321428571429, 29.9107142857143, 12.1651785714286, 23.2142857142857, 12.3883928571429, 5.02232142857143, 36.6071428571429, 32.1428571428571, 41.7410714285714, 37.3883928571429, 18.1919642857143, 34.2633928571429, 53.5714285714286, 39.1741071428571
Chienn, 54.4642857142857, 11.8303571428571, 0, 29.4642857142857, 36.3839285714286, 51.3392857142857, 7.36607142857143, 19.1964285714286, 27.1205357142857, 24.1071428571429, 10.9375, 39.2857142857143, 25.6696428571429, 53.90625, 23.8839285714286, 46.4285714285714, 41.8526785714286, 39.5089285714286, 54.9107142857143, 48.2142857142857, 47.9910714285714, 13.8392857142857, 15.1785714285714, 10.2678571428571, 18.1919642857143, 17.1875, 58.8169642857143, 60.9375, 60.2678571428571, 27.6785714285714, 37.9464285714286, 26.5625, 31.0267857142857, 46.875, 69.8660714285714, 32.5892857142857, 31.9196428571429, 26.5625, 31.25, 32.5892857142857, 30.3571428571429, 59.5982142857143, 36.1607142857143, 56.25, 23.8839285714286, 12.5, 44.1964285714286, 30.1339285714286, 50.4464285714286, 52.4553571428571, 12.5, 25.4464285714286, 2.67857142857143, 5.35714285714286, 49.3303571428571
Dwhr, 19.8660714285714, 1.33928571428571, 29.4642857142857, 0, 17.6339285714286, 9.82142857142857, 13.3928571428571, 10.9375, 2.67857142857143, 36.8303571428571, 20.8705357142857, 7.25446428571428, 13.3928571428571, 4.91071428571429, 14.7321428571429, 5.69196428571429, 20.7589285714286, 27.6785714285714, 25.78125, 22.65625, 22.9910714285714, 19.53125, 19.1964285714286, 18.0803571428571, 6.69642857142857, 8.48214285714286, 23.8839285714286, 40.1785714285714, 36.1607142857143, 10.9375, 8.48214285714286, 8.48214285714286, 11.3839285714286, 45.0892857142857, 3.79464285714286, 35.2678571428571, 14.2857142857143, 1.78571428571429, 16.0714285714286, 25, 16.9642857142857, 27.9017857142857, 50.2232142857143, 19.1964285714286, 16.9642857142857, 21.4285714285714, 42.6339285714286, 13.6160714285714, 8.03571428571428, 5.35714285714286, 19.6428571428571, 26.3392857142857, 20.9821428571429, 13.8392857142857, 20.4241071428571
Fgmwbz, 47.7678571428571, 27.4553571428571, 36.3839285714286, 17.6339285714286, 0, 27.6785714285714, 23.2142857142857, 26.7857142857143, 15.8482142857143, 23.5491071428571, 47.5446428571429, 42.8571428571429, 35.9375, 11.0491071428571, 34.375, 25, 7.14285714285714, 6.69642857142857, 20.3125, 22.7678571428571, 26.7857142857143, 11.71875, 62.9464285714286, 11.1607142857143, 25.4464285714286, 16.7410714285714, 12.9464285714286, 8.48214285714286, 20.3125, 42.8571428571429, 53.5714285714286, 30.3571428571429, 36.1607142857143, 41.0714285714286, 16.5178571428571, 31.0267857142857, 54.0178571428571, 6.02678571428571, 16.7410714285714, 28.5714285714286, 27.0089285714286, 43.9732142857143, 7.14285714285714, 8.03571428571428, 59.8214285714286, 33.2589285714286, 43.3035714285714, 14.0625, 17.4107142857143, 19.1964285714286, 27.2321428571429, 14.7321428571429, 33.0357142857143, 36.3839285714286, 9.82142857142857
Fwrtu, 23.4375, 25, 51.3392857142857, 9.82142857142857, 27.6785714285714, 0, 25, 1.5625, 13.3928571428571, 18.75, 1.67410714285714, 4.6875, 12.5, 20.9821428571429, 1.33928571428571, 40.0669642857143, 34.375, 0, 12.9464285714286, 26.7857142857143, 24.3303571428571, 20.9821428571429, 10.7142857142857, 26.7857142857143, 0, 0, 18.9732142857143, 30.3571428571429, 28.5714285714286, 12.5, 15.1785714285714, 22.3214285714286, 2.67857142857143, 37.7232142857143, 44.6428571428571, 0, 39.5089285714286, 15.625, 24.3303571428571, 14.0625, 9.375, 12.0535714285714, 12.5, 18.75, 19.6428571428571, 17.8571428571429, 26.5625, 4.6875, 48.6607142857143, 37.7232142857143, 7.14285714285714, 22.0982142857143, 4.6875, 33.4821428571429, 15.625
Gfpumc, 20.7589285714286, 16.2946428571429, 7.36607142857143, 13.3928571428571, 23.2142857142857, 25, 0, 41.1830357142857, 9.82142857142857, 64.7321428571428, 0, 53.5714285714286, 39.7321428571429, 32.5892857142857, 0.892857142857143, 15.8482142857143, 27.6785714285714, 0, 1.5625, 15.8482142857143, 29.2410714285714, 3.90625, 8.92857142857143, 44.1964285714286, 45.7589285714286, 10.7142857142857, 28.7946428571429, 14.0625, 27.9017857142857, 41.7410714285714, 41.7410714285714, 27.0089285714286, 16.0714285714286, 32.8125, 7.14285714285714, 19.1964285714286, 49.5535714285714, 28.7946428571429, 32.5892857142857, 37.0535714285714, 11.6071428571429, 0, 13.3928571428571, 12.9464285714286, 45.9821428571429, 69.4196428571428, 8.92857142857143, 54.9107142857143, 27.9017857142857, 13.1696428571429, 5.13392857142857, 28.3482142857143, 14.0625, 16.7410714285714, 14.0625
Imkp, 40.625, 14.9553571428571, 19.1964285714286, 10.9375, 26.7857142857143, 1.5625, 41.1830357142857, 0, 4.79910714285714, 25.2232142857143, 0.892857142857143, 55.1339285714286, 33.0357142857143, 25.3348214285714, 27.2321428571429, 38.0580357142857, 8.92857142857143, 9.82142857142857, 10.0446428571429, 28.0133928571429, 25.78125, 11.8303571428571, 37.5, 25.4464285714286, 21.5401785714286, 41.9642857142857, 26.5625, 16.7410714285714, 41.8526785714286, 43.75, 42.8571428571429, 18.6383928571429, 43.9732142857143, 18.6383928571429, 6.91964285714286, 4.01785714285714, 46.6517857142857, 37.6116071428571, 18.75, 26.4508928571429, 57.3660714285714, 7.92410714285714, 21.4285714285714, 43.3035714285714, 16.5178571428571, 25.1116071428571, 15.4017857142857, 36.4955357142857, 11.3839285714286, 14.84375, 37.7232142857143, 17.96875, 21.9866071428571, 10.7142857142857, 26.7857142857143
Jhhm, 6.69642857142857, 7.47767857142857, 27.1205357142857, 2.67857142857143, 15.8482142857143, 13.3928571428571, 9.82142857142857, 4.79910714285714, 0, 0, 8.92857142857143, 33.0357142857143, 19.8660714285714, 21.4285714285714, 10.7142857142857, 17.8571428571429, 0, 21.4285714285714, 22.7678571428571, 29.4642857142857, 3.57142857142857, 0.111607142857143, 4.46428571428571, 16.0714285714286, 17.8571428571429, 1.33928571428571, 3.34821428571429, 33.4821428571429, 0.446428571428571, 0.892857142857143, 12.0535714285714, 0, 24.5535714285714, 12.0535714285714, 18.75, 5.35714285714286, 0.78125, 26.7857142857143, 3.57142857142857, 4.12946428571429, 27.6785714285714, 19.6428571428571, 0, 0.223214285714286, 0.892857142857143, 22.7678571428571, 0, 2.67857142857143, 5.35714285714286, 36.0491071428571, 2.90178571428571, 10.7142857142857, 5.35714285714286, 15.625, 36.2723214285714
Knrjuc, 22.7678571428571, 37.5, 24.1071428571429, 36.8303571428571, 23.5491071428571, 18.75, 64.7321428571428, 25.2232142857143, 0, 0, 26.7857142857143, 38.3928571428571, 42.8571428571429, 47.7678571428571, 11.6071428571429, 16.5178571428571, 63.1696428571429, 9.15178571428571, 18.75, 8.92857142857143, 36.6071428571429, 16.7410714285714, 17.1875, 19.6428571428571, 66.5178571428571, 25.3348214285714, 69.7544642857143, 34.8214285714286, 34.375, 47.3214285714286, 42.5223214285714, 54.9107142857143, 21.2053571428571, 58.0357142857143, 18.75, 66.9642857142857, 28.5714285714286, 53.6830357142857, 47.8794642857143, 56.9196428571429, 17.8571428571429, 25, 44.1964285714286, 24.1071428571429, 67.4107142857143, 57.1428571428571, 37.0535714285714, 56.25, 69.6428571428571, 27.2321428571429, 12.9464285714286, 32.3660714285714, 22.7678571428571, 32.1428571428571, 24.1071428571429
