ISC 71, Albfdc, Asmp, Badadf, Bgwkys, Bmxhcu, Chienn, Dwhr, Dxgxa, Fgmwbz, Fuxtax, Imkp, Jhhm, Jpow, Ldlszf, Lzihpl, Mxkah, Nepk, Omoxmm, Pdds, Pndyf, Quha, Ucjm, Vpnhw, Vqahhq, Xxabu, Ynaysn, Zfxe, Sion, Yrqqw, Lwuzf, Sved, Vugl, Lxjh, Dzct, Kcax, Rkfn, Kxxe, Mvki, Puycrw, Zsvsib, Wpruf, Whuhqu, Ukyq, Udbgt, Fwrtu, Ofnqni, Gfpumc, Kdkf, Vcfpi, Qiqzn, Snwid, Kskwi, Wjrv, Zjmch, Knrjuc
Imkp, 23.2142857142857, 31.25, 28.4598214285714, 34.7098214285714, 49.6651785714286, 48.4375, 49.7767857142857, 32.5892857142857, 43.3035714285714, 39.0625, 0, 32.8125, 27.9017857142857, 39.7321428571429, 4.91071428571429, 15.9598214285714, 29.1294642857143, 38.8392857142857, 34.0401785714286, 50.4464285714286, 17.1875, 32.03125, 30.8035714285714, 29.1294642857143, 33.9285714285714, 25.5580357142857, 53.6830357142857, 22.3214285714286, 24.21875, 12.2767857142857, 4.35267857142857, 20.6473214285714, 44.6428571428571, 20.7589285714286, 17.5223214285714, 29.0178571428571, 40.8482142857143, 19.7544642857143, 55.3571428571429, 15.2901785714286, 26.0044642857143, 41.5178571428571, 46.875, 35.2678571428571, 21.5401785714286, 33.0357142857143, 65.0669642857143, 45.0892857142857, 46.4285714285714, 21.3169642857143, 39.2857142857143, 40.1785714285714, 30.3571428571429, 26.7857142857143, 46.5401785714286
Jhhm, 8.25892857142857, 27.4553571428571, 11.71875, 0, 30.5803571428571, 37.7232142857143, 7.47767857142857, 3.34821428571429, 25.1116071428571, 15.4017857142857, 32.8125, 0, 0, 32.1428571428571, 8.92857142857143, 6.69642857142857, 11.6071428571429, 14.2857142857143, 5.35714285714286, 53.7946428571429, 18.8616071428571, 23.2142857142857, 13.28125, 25.8928571428571, 16.9642857142857, 21.875, 23.6607142857143, 49.7767857142857, 7.25446428571428, 25.8928571428571, 20.9821428571429, 8.03571428571428, 16.0714285714286, 4.46428571428571, 23.8839285714286, 39.5089285714286, 10.3794642857143, 21.4285714285714, 22.65625, 7.58928571428571, 39.2857142857143, 4.6875, 32.7008928571429, 32.5892857142857, 31.6964285714286, 7.25446428571428, 18.9732142857143, 15.1785714285714, 6.25, 11.1607142857143, 28.5714285714286, 7.92410714285714, 30.8035714285714, 14.5089285714286, 0.669642857142857
Jpow, 0, 37.5, 33.9285714285714, 23.1026785714286, 19.6428571428571, 33.2589285714286, 35.2678571428571, 16.5178571428571, 25.8928571428571, 18.9732142857143, 27.9017857142857, 0, 0, 33.2589285714286, 35.7142857142857, 18.75, 26.7857142857143, 4.91071428571429, 7.58928571428571, 8.92857142857143, 2.90178571428571, 8.92857142857143, 36.1607142857143, 18.3035714285714, 13.3928571428571, 42.4107142857143, 23.4375, 18.3035714285714, 34.375, 19.1964285714286, 16.5178571428571, 50, 28.125, 46.4285714285714, 4.01785714285714, 10.7142857142857, 31.6964285714286, 23.2142857142857, 12.9464285714286, 40.625, 29.6875, 40.4017857142857, 45.9821428571429, 22.3214285714286, 34.5982142857143, 21.4285714285714, 26.7857142857143, 27.2321428571429, 1.33928571428571, 23.6607142857143, 36.1607142857143, 3.57142857142857, 29.6875, 0, 49.5535714285714
Ldlszf, 41.9642857142857, 45.2008928571429, 25.5580357142857, 10.15625, 36.6071428571429, 29.4642857142857, 46.09375, 38.8392857142857, 57.3660714285714, 18.75, 39.7321428571429, 32.1428571428571, 33.2589285714286, 0, 7.58928571428571, 22.8794642857143, 40.7366071428571, 12.9464285714286, 50.4464285714286, 33.9285714285714, 14.1741071428571, 38.28125, 18.1919642857143, 29.9107142857143, 23.6607142857143, 22.4330357142857, 42.8571428571429, 58.0357142857143, 35.4910714285714, 30.5803571428571, 18.0803571428571, 36.71875, 40.0669642857143, 49.3303571428571, 29.4642857142857, 67.1875, 41.5178571428571, 57.1428571428571, 14.7321428571429, 33.7053571428571, 26.3392857142857, 48.4375, 57.03125, 10.9375, 44.8660714285714, 15.8482142857143, 24.1071428571429, 50.6696428571429, 17.8571428571429, 37.7232142857143, 42.7455357142857, 2.23214285714286, 56.25, 46.6517857142857, 19.6428571428571
Lzihpl, 17.4107142857143, 7.14285714285714, 16.0714285714286, 7.8125, 11.1607142857143, 30.8035714285714, 11.1607142857143, 0, 17.8571428571429, 2.67857142857143, 4.91071428571429, 8.92857142857143, 35.7142857142857, 7.58928571428571, 0, 2.67857142857143, 5.35714285714286, 5.35714285714286, 24.3303571428571, 0, 8.48214285714286, 5.35714285714286, 38.8392857142857, 15.1785714285714, 18.75, 18.75, 25, 6.25, 16.0714285714286, 42.4107142857143, 35.2678571428571, 29.9107142857143, 1.33928571428571, 17.4107142857143, 7.14285714285714, 0, 3.125, 6.25, 26.7857142857143, 7.14285714285714, 10.7142857142857, 16.9642857142857, 1.78571428571429, 7.14285714285714, 29.9107142857143, 24.1071428571429, 14.2857142857143, 32.1428571428571, 8.03571428571428, 0.892857142857143, 27.2321428571429, 15.625, 20.5357142857143, 19.6428571428571, 23.2142857142857
Mxkah, 3.90625, 26.8973214285714, 2.45535714285714, 23.8839285714286, 46.6517857142857, 15.4017857142857, 22.0982142857143, 9.375, 36.2723214285714, 10.4910714285714, 15.9598214285714, 6.69642857142857, 18.75, 22.8794642857143, 2.67857142857143, 0, 2.67857142857143, 10.7142857142857, 6.69642857142857, 6.13839285714286, 22.7678571428571, 0, 18.9732142857143, 13.7276785714286, 1.45089285714286, 1.78571428571429, 4.79910714285714, 2.56696428571429, 2.12053571428571, 26.7857142857143, 18.6383928571429, 27.4553571428571, 7.8125, 1.67410714285714, 15.4017857142857, 39.5089285714286, 2.67857142857143, 5.35714285714286, 5.35714285714286, 40.1785714285714, 22.3214285714286, 9.59821428571428, 21.9866071428571, 18.9732142857143, 18.0803571428571, 10.2678571428571, 5.35714285714286, 20.9821428571429, 15.625, 12.0535714285714, 8.70535714285714, 10.7142857142857, 30.3571428571429, 11.0491071428571, 16.0714285714286
Nepk, 23.6607142857143, 11.6071428571429, 43.3035714285714, 10.0446428571429, 9.15178571428571, 45.5357142857143, 32.4776785714286, 15.1785714285714, 35.9375, 53.7946428571429, 29.1294642857143, 11.6071428571429, 26.7857142857143, 40.7366071428571, 5.35714285714286, 2.67857142857143, 0, 16.5178571428571, 19.1964285714286, 35.7142857142857, 1.78571428571429, 18.5267857142857, 4.79910714285714, 16.7410714285714, 36.0491071428571, 14.7321428571429, 31.5848214285714, 43.9732142857143, 49.1071428571429, 1.78571428571429, 41.2946428571429, 18.5267857142857, 29.6875, 50.4464285714286, 15.4017857142857, 15.2901785714286, 38.8392857142857, 59.1517857142857, 33.9285714285714, 21.4285714285714, 33.9285714285714, 28.125, 36.8303571428571, 35.7142857142857, 22.5446428571429, 32.1428571428571, 28.125, 25.2232142857143, 43.8616071428571, 33.2589285714286, 30.46875, 29.4642857142857, 20.5357142857143, 25.4464285714286, 28.125
Omoxmm, 20.5357142857143, 29.2410714285714, 14.2857142857143, 0.446428571428571, 18.3035714285714, 37.0535714285714, 40.1785714285714, 17.8571428571429, 20.5357142857143, 14.9553571428571, 38.8392857142857, 14.2857142857143, 4.91071428571429, 12.9464285714286, 5.35714285714286, 10.7142857142857, 16.5178571428571, 0, 14.7321428571429, 35.7142857142857, 14.7321428571429, 29.9107142857143, 24.1071428571429, 31.25, 57.5892857142857, 8.92857142857143, 17.8571428571429, 15.1785714285714, 44.6428571428571, 20.9821428571429, 16.0714285714286, 5.35714285714286, 30.3571428571429, 22.7678571428571, 39.7321428571429, 22.3214285714286, 16.0714285714286, 16.5178571428571, 20.0892857142857, 56.25, 16.5178571428571, 6.69642857142857, 19.1964285714286, 20.9821428571429, 9.82142857142857, 35.2678571428571, 37.0535714285714, 17.4107142857143, 42.4107142857143, 17.4107142857143, 29.4642857142857, 58.4821428571429, 26.3392857142857, 33.4821428571429, 12.9464285714286
Pdds, 62.0535714285714, 22.8794642857143, 23.7723214285714, 17.4107142857143, 25.3348214285714, 20.6473214285714, 38.5044642857143, 37.1651785714286, 15.1785714285714, 7.36607142857143, 34.0401785714286, 5.35714285714286, 7.58928571428571, 50.4464285714286, 24.3303571428571, 6.69642857142857, 19.1964285714286, 14.7321428571429, 0, 18.3035714285714, 10.2678571428571, 47.3214285714286, 41.5178571428571, 36.8303571428571, 35.7142857142857, 38.28125, 44.1964285714286, 40.4017857142857, 29.9107142857143, 45.6473214285714, 34.4866071428571, 31.25, 26.1160714285714, 41.1830357142857, 21.875, 9.15178571428571, 33.0357142857143, 30.5803571428571, 28.125, 20.3125, 8.92857142857143, 32.3660714285714, 22.3214285714286, 14.7321428571429, 46.875, 26.7857142857143, 17.96875, 52.0089285714286, 33.4821428571429, 54.0178571428571, 39.5089285714286, 38.8392857142857, 22.7678571428571, 33.4821428571429, 31.0267857142857
Pndyf, 27.6785714285714, 19.8660714285714, 43.75, 2.67857142857143, 15.625, 22.7678571428571, 13.8392857142857, 8.92857142857143, 31.6964285714286, 30.5803571428571, 50.4464285714286, 53.7946428571429, 8.92857142857143, 33.9285714285714, 0, 6.13839285714286, 35.7142857142857, 35.7142857142857, 18.3035714285714, 0, 32.5892857142857, 20.9821428571429, 33.9285714285714, 29.6875, 34.5982142857143, 31.4732142857143, 6.02678571428571, 50.6696428571429, 19.1964285714286, 29.9107142857143, 33.4821428571429, 18.75, 4.46428571428571, 20.9821428571429, 2.23214285714286, 48.2142857142857, 34.375, 30.3571428571429, 42.8571428571429, 12.5, 18.75, 8.03571428571428, 51.1160714285714, 32.5892857142857, 27.2321428571429, 18.3035714285714, 41.5178571428571, 36.1607142857143, 38.3928571428571, 35.2678571428571, 48.2142857142857, 22.7678571428571, 5.35714285714286, 18.9732142857143, 15.1785714285714
Quha, 7.36607142857143, 5.35714285714286, 29.6875, 16.5178571428571, 37.6116071428571, 4.6875, 10.2678571428571, 17.4107142857143, 17.1875, 18.3035714285714, 17.1875, 18.8616071428571, 2.90178571428571, 14.1741071428571, 8.48214285714286, 22.7678571428571, 1.78571428571429, 14.7321428571429, 10.2678571428571, 32.5892857142857, 0, 10.2678571428571, 17.7455357142857, 15.8482142857143, 8.14732142857143, 23.2142857142857, 5.24553571428571, 10.7142857142857, 7.8125, 48.2142857142857, 33.7053571428571, 8.25892857142857, 4.46428571428571, 0.892857142857143, 5.24553571428571, 36.6071428571429, 34.1517857142857, 0, 23.8839285714286, 16.0714285714286, 0.223214285714286, 4.01785714285714, 21.875, 10.7142857142857, 13.1696428571429, 7.70089285714286, 9.15178571428571, 18.0803571428571, 21.3169642857143, 0.892857142857143, 13.9508928571429, 15.8482142857143, 13.1696428571429, 9.59821428571428, 5.80357142857143
Ucjm, 13.3928571428571, 24.6651785714286, 27.9017857142857, 1.67410714285714, 37.9464285714286, 27.0089285714286, 16.40625, 17.8571428571429, 18.5267857142857, 11.8303571428571, 32.03125, 23.2142857142857, 8.92857142857143, 38.28125, 5.35714285714286, 0, 18.5267857142857, 29.9107142857143, 47.3214285714286, 20.9821428571429, 10.2678571428571, 0, 41.7410714285714, 78.7946428571428, 26.5625, 38.1696428571429, 50.2232142857143, 24.1071428571429, 26.7857142857143, 36.8303571428571, 21.4285714285714, 24.5535714285714, 40.625, 18.3035714285714, 31.6964285714286, 30.3571428571429, 3.79464285714286, 21.6517857142857, 24.7767857142857, 27.6785714285714, 22.0982142857143, 3.125, 17.1875, 27.2321428571429, 29.9107142857143, 23.6607142857143, 51.1160714285714, 15.1785714285714, 23.2142857142857, 24.3303571428571, 16.5178571428571, 44.1964285714286, 43.75, 41.9642857142857, 35.9375
Vpnhw, 54.0178571428571, 25.6696428571429, 25.8928571428571, 33.3705357142857, 30.9151785714286, 17.0758928571429, 40.9598214285714, 4.12946428571429, 40.5133928571429, 13.7276785714286, 30.8035714285714, 13.28125, 36.1607142857143, 18.1919642857143, 38.8392857142857, 18.9732142857143, 4.79910714285714, 24.1071428571429, 41.5178571428571, 33.9285714285714, 17.7455357142857, 41.7410714285714, 0, 48.4375, 42.6339285714286, 43.8616071428571, 23.3258928571429, 15.1785714285714, 23.4375, 60.0446428571429, 47.0982142857143, 34.5982142857143, 21.6517857142857, 22.0982142857143, 9.59821428571428, 20.4241071428571, 15.1785714285714, 28.0133928571429, 47.2098214285714, 21.2053571428571, 21.4285714285714, 29.7991071428571, 31.0267857142857, 27.5669642857143, 50, 41.2946428571429, 27.2321428571429, 36.6071428571429, 21.875, 32.1428571428571, 23.2142857142857, 26.3392857142857, 16.7410714285714, 23.4375, 45.9821428571429
Vqahhq, 31.6964285714286, 34.8214285714286, 22.9910714285714, 6.91964285714286, 28.7946428571429, 27.6785714285714, 8.03571428571428, 11.1607142857143, 15.625, 15.625, 29.1294642857143, 25.8928571428571, 18.3035714285714, 29.9107142857143, 15.1785714285714, 13.7276785714286, 16.7410714285714, 31.25, 36.8303571428571, 29.6875, 15.8482142857143, 78.7946428571428, 48.4375, 0, 32.3660714285714, 11.6071428571429, 28.0133928571429, 32.1428571428571, 24.1071428571429, 38.8392857142857, 11.3839285714286, 31.0267857142857, 30.8035714285714, 18.75, 32.5892857142857, 16.5178571428571, 5.80357142857143, 13.8392857142857, 48.2142857142857, 41.5178571428571, 32.8125, 3.57142857142857, 37.7232142857143, 47.3214285714286, 64.7321428571428, 16.2946428571429, 55.1339285714286, 37.2767857142857, 17.4107142857143, 39.5089285714286, 25.8928571428571, 28.5714285714286, 14.5089285714286, 40.4017857142857, 57.8125
