ISC 77, Albfdc, Bgwkys, Bmxhcu, Chienn, Fgmwbz, Fuxtax, Fwrtu, Gfpumc, Imkp, Jhhm, Jpow, Kcax, Knrjuc, Kskwi, Kxxe, Ofnqni, Pdds, Puycrw, Qiqzn, Quha, Snwid, Ukyq, Vpnhw, Vqahhq, Vugl, Wpruf, Yrqqw, Sion, Lwuzf, Lzihpl, Dxgxa, Nepk, Sved, Xxabu, Lxjh, Dzct, Badadf, Rkfn, Mvki, Zsvsib, Whuhqu, Pndyf, Zfxe, Udbgt, Asmp, Ucjm, Omoxmm, Ynaysn, Kdkf, Mxkah, Vcfpi, Dwhr, Wjrv, Zjmch, Ldlszf
Jpow, 19.7544642857143, 22.7678571428571, 56.0267857142857, 37.9464285714286, 4.12946428571429, 16.8526785714286, 29.9107142857143, 36.1607142857143, 17.1875, 9.82142857142857, 0, 26.4508928571429, 1.22767857142857, 2.00892857142857, 3.125, 7.58928571428571, 10.0446428571429, 5.13392857142857, 2.00892857142857, 11.6071428571429, 2.79017857142857, 14.5089285714286, 7.92410714285714, 5.80357142857143, 7.58928571428571, 19.1964285714286, 22.3214285714286, 25.6696428571429, 9.375, 10.6026785714286, 8.59375, 6.25, 23.2142857142857, 6.91964285714286, 13.8392857142857, 16.0714285714286, 6.69642857142857, 53.90625, 10.7142857142857, 44.8660714285714, 2.45535714285714, 7.8125, 25.2232142857143, 14.0625, 8.92857142857143, 29.9107142857143, 5.80357142857143, 4.01785714285714, 26.3392857142857, 6.91964285714286, 19.0848214285714, 41.7410714285714, 29.2410714285714, 3.23660714285714, 6.02678571428571
Kcax, 16.0714285714286, 10.6026785714286, 20.0892857142857, 16.40625, 1.33928571428571, 32.7008928571429, 4.91071428571429, 32.1428571428571, 5.80357142857143, 1.45089285714286, 26.4508928571429, 0, 1.22767857142857, 0.78125, 0.669642857142857, 18.9732142857143, 10.9375, 6.69642857142857, 0.669642857142857, 24.7767857142857, 1.78571428571429, 6.69642857142857, 3.45982142857143, 7.92410714285714, 1.33928571428571, 9.375, 10.8258928571429, 36.9419642857143, 1.78571428571429, 13.1696428571429, 7.8125, 14.7321428571429, 11.6071428571429, 0.892857142857143, 30.0223214285714, 38.6160714285714, 14.5089285714286, 37.2767857142857, 3.125, 16.5178571428571, 13.3928571428571, 17.4107142857143, 21.6517857142857, 4.6875, 0.446428571428571, 11.3839285714286, 1.00446428571429, 6.02678571428571, 12.5, 5.80357142857143, 20.4241071428571, 15.625, 26.8973214285714, 10.0446428571429, 0.892857142857143
Knrjuc, 37.9464285714286, 16.5178571428571, 13.6160714285714, 14.3973214285714, 4.12946428571429, 18.75, 20.5357142857143, 28.125, 39.7321428571429, 0.892857142857143, 1.22767857142857, 1.22767857142857, 0, 14.84375, 4.01785714285714, 6.13839285714286, 2.23214285714286, 23.6607142857143, 10.6026785714286, 33.4821428571429, 12.2767857142857, 9.375, 27.6785714285714, 5.58035714285714, 35.4910714285714, 12.7232142857143, 2.56696428571429, 5.58035714285714, 9.15178571428571, 23.8839285714286, 17.6339285714286, 42.1875, 5.58035714285714, 26.3392857142857, 4.57589285714286, 6.69642857142857, 29.4642857142857, 2.90178571428571, 19.8660714285714, 8.92857142857143, 20.9821428571429, 24.5535714285714, 13.3928571428571, 6.02678571428571, 29.6875, 47.65625, 20.9821428571429, 45.4241071428571, 8.92857142857143, 6.91964285714286, 8.48214285714286, 33.7053571428571, 14.2857142857143, 52.4553571428571, 16.7410714285714
Kskwi, 13.0580357142857, 7.58928571428571, 29.0178571428571, 16.5178571428571, 37.0535714285714, 25.8928571428571, 30.1339285714286, 60.0446428571429, 6.25, 44.6428571428571, 2.00892857142857, 0.78125, 14.84375, 0, 21.4285714285714, 36.0491071428571, 31.6964285714286, 28.5714285714286, 32.9241071428571, 52.34375, 22.0982142857143, 6.25, 23.4375, 22.3214285714286, 17.4107142857143, 7.8125, 34.5982142857143, 8.25892857142857, 6.25, 10.7142857142857, 31.25, 8.70535714285714, 43.3035714285714, 51.7857142857143, 55.1339285714286, 27.2321428571429, 6.25, 36.3839285714286, 37.2767857142857, 11.6071428571429, 45.7589285714286, 19.1964285714286, 7.14285714285714, 27.6785714285714, 45.3125, 22.0982142857143, 26.7857142857143, 16.5178571428571, 13.8392857142857, 49.3303571428571, 45.5357142857143, 9.15178571428571, 7.58928571428571, 33.4821428571429, 18.9732142857143
Kxxe, 15.7366071428571, 32.1428571428571, 14.84375, 30.2455357142857, 48.6607142857143, 26.0044642857143, 10.7142857142857, 37.0535714285714, 23.5491071428571, 8.92857142857143, 3.125, 0.669642857142857, 4.01785714285714, 21.4285714285714, 0, 33.0357142857143, 28.7946428571429, 33.7053571428571, 9.375, 36.6071428571429, 20.9821428571429, 12.9464285714286, 37.6116071428571, 19.4196428571429, 11.6071428571429, 26.7857142857143, 24.1071428571429, 11.3839285714286, 34.1517857142857, 28.5714285714286, 12.5, 34.2633928571429, 16.5178571428571, 22.3214285714286, 12.9464285714286, 16.0714285714286, 12.1651785714286, 6.69642857142857, 21.4285714285714, 13.1696428571429, 9.93303571428571, 20.5357142857143, 23.2142857142857, 15.625, 30.3571428571429, 12.0535714285714, 9.82142857142857, 13.28125, 16.7410714285714, 24.8883928571429, 31.25, 13.1696428571429, 23.9955357142857, 8.14732142857143, 30.1339285714286
Ofnqni, 4.12946428571429, 43.8616071428571, 19.8660714285714, 42.8571428571429, 28.125, 36.0491071428571, 25.8928571428571, 19.3080357142857, 0, 20.5357142857143, 7.58928571428571, 18.9732142857143, 6.13839285714286, 36.0491071428571, 33.0357142857143, 0, 17.1875, 34.5982142857143, 24.3303571428571, 68.9732142857143, 25.2232142857143, 29.7991071428571, 32.2544642857143, 27.6785714285714, 1.11607142857143, 7.8125, 41.9642857142857, 28.125, 26.5625, 55.5803571428571, 32.5892857142857, 37.2767857142857, 11.6071428571429, 18.8616071428571, 35.7142857142857, 68.9732142857143, 36.3839285714286, 35.6026785714286, 48.5491071428571, 30.8035714285714, 45.6473214285714, 12.1651785714286, 8.25892857142857, 30.1339285714286, 41.7410714285714, 30.5803571428571, 25.8928571428571, 16.7410714285714, 20.3125, 29.0178571428571, 49.3303571428571, 32.3660714285714, 18.75, 32.5892857142857, 13.5044642857143
Pdds, 17.1875, 4.46428571428571, 25.3348214285714, 41.0714285714286, 37.2767857142857, 27.0089285714286, 41.0714285714286, 49.3303571428571, 27.6785714285714, 41.5178571428571, 10.0446428571429, 10.9375, 2.23214285714286, 31.6964285714286, 28.7946428571429, 17.1875, 0, 45.3125, 22.0982142857143, 36.2723214285714, 16.7410714285714, 9.15178571428571, 16.2946428571429, 27.2321428571429, 14.6205357142857, 28.5714285714286, 47.3214285714286, 51.7857142857143, 28.7946428571429, 24.5535714285714, 39.7321428571429, 26.5625, 21.875, 46.4285714285714, 43.8616071428571, 31.8080357142857, 28.5714285714286, 26.3392857142857, 23.6607142857143, 29.4642857142857, 41.7410714285714, 46.2053571428571, 44.4196428571429, 30.46875, 26.3392857142857, 7.58928571428571, 71.4285714285714, 10.9375, 32.5892857142857, 34.0401785714286, 19.6428571428571, 8.70535714285714, 18.75, 29.4642857142857, 44.1964285714286
Puycrw, 41.1830357142857, 2.23214285714286, 0.111607142857143, 25.4464285714286, 45.7589285714286, 24.5535714285714, 9.70982142857143, 46.4285714285714, 23.6607142857143, 31.3616071428571, 5.13392857142857, 6.69642857142857, 23.6607142857143, 28.5714285714286, 33.7053571428571, 34.5982142857143, 45.3125, 0, 13.9508928571429, 60.4910714285714, 29.0178571428571, 30.2455357142857, 23.2142857142857, 14.2857142857143, 23.5491071428571, 3.34821428571429, 33.7053571428571, 19.0848214285714, 25, 32.3660714285714, 33.7053571428571, 58.0357142857143, 21.6517857142857, 32.5892857142857, 18.75, 40.625, 55.6919642857143, 14.1741071428571, 32.1428571428571, 34.1517857142857, 50.2232142857143, 36.1607142857143, 44.1964285714286, 31.9196428571429, 47.5446428571429, 35.7142857142857, 33.7053571428571, 39.7321428571429, 18.3035714285714, 47.3214285714286, 28.125, 10.0446428571429, 40.4017857142857, 36.9419642857143, 34.8214285714286
Qiqzn, 4.6875, 0.669642857142857, 31.9196428571429, 1.5625, 13.1696428571429, 5.58035714285714, 14.84375, 16.9642857142857, 16.2946428571429, 24.3303571428571, 2.00892857142857, 0.669642857142857, 10.6026785714286, 32.9241071428571, 9.375, 24.3303571428571, 22.0982142857143, 13.9508928571429, 0, 14.3973214285714, 16.5178571428571, 16.7410714285714, 8.92857142857143, 0.892857142857143, 8.59375, 1.67410714285714, 29.4642857142857, 14.2857142857143, 4.91071428571429, 13.7276785714286, 17.4107142857143, 7.36607142857143, 13.6160714285714, 9.82142857142857, 10.15625, 10.6026785714286, 7.58928571428571, 37.0535714285714, 25.2232142857143, 18.0803571428571, 14.2857142857143, 20.3125, 7.25446428571428, 12.0535714285714, 37.7232142857143, 5.46875, 29.2410714285714, 12.2767857142857, 15.4017857142857, 5.69196428571429, 0.334821428571429, 8.48214285714286, 4.01785714285714, 9.15178571428571, 10.2678571428571
Quha, 24.4419642857143, 26.7857142857143, 13.1696428571429, 31.6964285714286, 21.3169642857143, 54.6875, 30.9151785714286, 60.9375, 25.2232142857143, 33.4821428571429, 11.6071428571429, 24.7767857142857, 33.4821428571429, 52.34375, 36.6071428571429, 68.9732142857143, 36.2723214285714, 60.4910714285714, 14.3973214285714, 0, 13.6160714285714, 12.5, 55.6919642857143, 40.625, 33.7053571428571, 1.33928571428571, 80.3571428571428, 19.6428571428571, 31.0267857142857, 43.0803571428571, 57.1428571428571, 56.3616071428571, 43.3035714285714, 35.0446428571429, 47.0982142857143, 63.6160714285714, 57.5892857142857, 41.0714285714286, 85.7142857142857, 22.7678571428571, 66.0714285714286, 20.8705357142857, 36.8303571428571, 38.6160714285714, 46.9866071428571, 44.7544642857143, 46.4285714285714, 49.1071428571429, 10.9375, 23.6607142857143, 54.0178571428571, 23.8839285714286, 30.2455357142857, 65.625, 22.3214285714286
