ISC 80, Badadf, Bgwkys, Dxgxa, Fuxtax, Gfpumc, Jhhm, Jpow, Kcax, Kdkf, Knrjuc, Kskwi, Kxxe, Lwuzf, Mvki, Nepk, Pdds, Pndyf, Qiqzn, Snwid, Sved, Ucjm, Udbgt, Ukyq, Wjrv, Ynaysn, Zfxe, Zjmch, Bmxhcu, Sion, Yrqqw, Lzihpl, Chienn, Vugl, Imkp, Xxabu, Quha, Lxjh, Vqahhq, Dzct, Rkfn, Puycrw, Zsvsib, Wpruf, Whuhqu, Asmp, Omoxmm, Fwrtu, Albfdc, Ofnqni, Mxkah, Vcfpi, Dwhr, Vpnhw, Fgmwbz, Ldlszf
Badadf, 0, 17.8571428571429, 19.4196428571429, 64.2857142857143, 24.6651785714286, 41.6294642857143, 21.9866071428571, 26.5625, 17.8571428571429, 28.7946428571429, 32.4776785714286, 38.5044642857143, 16.0714285714286, 17.8571428571429, 39.9553571428571, 15.5133928571429, 28.125, 4.6875, 16.6294642857143, 13.28125, 41.40625, 25.4464285714286, 4.12946428571429, 39.0625, 6.13839285714286, 32.3660714285714, 31.4732142857143, 52.9017857142857, 23.2142857142857, 18.9732142857143, 18.9732142857143, 28.2366071428571, 15.5133928571429, 23.6607142857143, 40.8482142857143, 23.3258928571429, 8.59375, 18.9732142857143, 54.1294642857143, 15.0669642857143, 33.7053571428571, 26.4508928571429, 13.3928571428571, 45.7589285714286, 44.8660714285714, 26.5625, 19.4196428571429, 2.90178571428571, 32.9241071428571, 19.3080357142857, 44.1964285714286, 27.6785714285714, 44.4196428571429, 44.4196428571429, 54.1294642857143
Bgwkys, 17.8571428571429, 0, 7.58928571428571, 20.9821428571429, 9.59821428571428, 21.875, 32.3660714285714, 32.1428571428571, 15.5133928571429, 16.5178571428571, 33.8169642857143, 20.3125, 4.6875, 8.48214285714286, 8.48214285714286, 14.84375, 14.2857142857143, 22.3214285714286, 30.1339285714286, 29.9107142857143, 33.7053571428571, 28.0133928571429, 22.7678571428571, 20.9821428571429, 36.6071428571429, 16.9642857142857, 15.2901785714286, 4.46428571428571, 2.67857142857143, 39.7321428571429, 6.91964285714286, 13.9508928571429, 11.8303571428571, 37.6116071428571, 12.1651785714286, 31.0267857142857, 32.8125, 20.9821428571429, 27.9017857142857, 26.3392857142857, 55.8035714285714, 14.5089285714286, 7.03125, 12.5, 39.0625, 11.8303571428571, 39.7321428571429, 42.7455357142857, 39.0625, 44.6428571428571, 28.0133928571429, 26.3392857142857, 40.2901785714286, 27.2321428571429, 31.1383928571429
Dxgxa, 19.4196428571429, 7.58928571428571, 0, 16.9642857142857, 41.0714285714286, 21.5401785714286, 35.7142857142857, 45.5357142857143, 33.9285714285714, 16.5178571428571, 38.6160714285714, 20.3125, 13.3928571428571, 38.3928571428571, 31.9196428571429, 28.5714285714286, 42.4107142857143, 42.4107142857143, 33.0357142857143, 27.9017857142857, 60.0446428571429, 23.4375, 37.9464285714286, 58.0357142857143, 76.3392857142857, 60.9375, 25.78125, 25, 49.5535714285714, 45.9821428571429, 28.7946428571429, 30.5803571428571, 23.2142857142857, 48.6607142857143, 30.8035714285714, 33.0357142857143, 41.9642857142857, 46.2053571428571, 35.2678571428571, 40.625, 14.7321428571429, 29.4642857142857, 45.5357142857143, 30.3571428571429, 30.5803571428571, 32.5892857142857, 9.375, 48.6607142857143, 34.375, 30.1339285714286, 18.5267857142857, 19.1964285714286, 13.3928571428571, 14.0625, 30.3571428571429
Fuxtax, 64.2857142857143, 20.9821428571429, 16.9642857142857, 0, 33.9285714285714, 14.5089285714286, 10.8258928571429, 20.9821428571429, 33.9285714285714, 0, 29.6875, 38.3928571428571, 9.375, 0.446428571428571, 60.2678571428571, 6.69642857142857, 4.46428571428571, 6.69642857142857, 14.5089285714286, 9.70982142857143, 44.1964285714286, 14.2857142857143, 3.23660714285714, 28.125, 27.4553571428571, 25.6696428571429, 38.6160714285714, 27.2321428571429, 32.5892857142857, 27.2321428571429, 14.2857142857143, 32.1428571428571, 12.9464285714286, 41.2946428571429, 37.2767857142857, 33.4821428571429, 8.92857142857143, 12.7232142857143, 24.7767857142857, 34.1517857142857, 33.4821428571429, 13.1696428571429, 2.23214285714286, 18.9732142857143, 41.2946428571429, 16.9642857142857, 24.7767857142857, 29.0178571428571, 37.7232142857143, 6.91964285714286, 18.75, 29.6875, 38.3928571428571, 21.4285714285714, 35.2678571428571
Gfpumc, 24.6651785714286, 9.59821428571428, 41.0714285714286, 33.9285714285714, 0, 19.53125, 38.6160714285714, 26.0044642857143, 20.9821428571429, 1.78571428571429, 14.6205357142857, 41.0714285714286, 18.0803571428571, 37.5, 34.8214285714286, 0, 4.6875, 35.2678571428571, 23.8839285714286, 13.8392857142857, 39.7321428571429, 31.5848214285714, 7.36607142857143, 12.9464285714286, 11.3839285714286, 13.3928571428571, 35.4910714285714, 25.8928571428571, 21.4285714285714, 25.8928571428571, 59.1517857142857, 62.0535714285714, 22.0982142857143, 3.57142857142857, 41.9642857142857, 23.6607142857143, 12.9464285714286, 39.0625, 8.92857142857143, 13.6160714285714, 8.70535714285714, 16.9642857142857, 12.2767857142857, 9.82142857142857, 4.01785714285714, 9.59821428571428, 18.0803571428571, 24.1071428571429, 26.3392857142857, 6.25, 12.0535714285714, 10.9375, 23.8839285714286, 16.5178571428571, 28.125
Jhhm, 41.6294642857143, 21.875, 21.5401785714286, 14.5089285714286, 19.53125, 0, 47.8794642857143, 18.5267857142857, 31.1383928571429, 64.7321428571428, 35.4910714285714, 31.6964285714286, 26.7857142857143, 0.223214285714286, 0.669642857142857, 16.0714285714286, 8.70535714285714, 34.1517857142857, 18.8616071428571, 20.7589285714286, 9.375, 42.96875, 25.8928571428571, 38.3928571428571, 16.5178571428571, 31.3616071428571, 44.6428571428571, 15.0669642857143, 23.2142857142857, 29.7991071428571, 17.5223214285714, 36.6071428571429, 37.2767857142857, 27.6785714285714, 41.9642857142857, 15.625, 17.6339285714286, 4.79910714285714, 42.6339285714286, 30.6919642857143, 24.8883928571429, 58.59375, 20.3125, 4.01785714285714, 4.57589285714286, 37.9464285714286, 31.8080357142857, 39.0625, 12.2767857142857, 43.3035714285714, 46.4285714285714, 44.0848214285714, 20.4241071428571, 32.3660714285714, 20.3125
Jpow, 21.9866071428571, 32.3660714285714, 35.7142857142857, 10.8258928571429, 38.6160714285714, 47.8794642857143, 0, 57.5892857142857, 31.9196428571429, 34.5982142857143, 59.1517857142857, 54.0178571428571, 60.9375, 45.9821428571429, 39.2857142857143, 15.8482142857143, 9.15178571428571, 20.5357142857143, 54.6875, 0, 72.8794642857143, 36.8303571428571, 33.59375, 32.2544642857143, 27.0089285714286, 23.3258928571429, 30.0223214285714, 49.5535714285714, 30.5803571428571, 47.4330357142857, 69.1964285714286, 62.5, 39.5089285714286, 50.4464285714286, 12.1651785714286, 19.8660714285714, 40.1785714285714, 35.7142857142857, 13.6160714285714, 24.4419642857143, 36.8303571428571, 36.4955357142857, 58.7053571428571, 30.8035714285714, 27.9017857142857, 39.0625, 31.8080357142857, 31.1383928571429, 36.1607142857143, 65.0669642857143, 61.1607142857143, 47.65625, 51.1160714285714, 74.5535714285714, 25.4464285714286
Kcax, 26.5625, 32.1428571428571, 45.5357142857143, 20.9821428571429, 26.0044642857143, 18.5267857142857, 57.5892857142857, 0, 34.8214285714286, 7.14285714285714, 14.0625, 26.8973214285714, 45.9821428571429, 31.25, 34.8214285714286, 30.9151785714286, 29.2410714285714, 13.6160714285714, 41.1830357142857, 43.5267857142857, 64.9553571428571, 21.5401785714286, 16.2946428571429, 32.9241071428571, 38.1696428571429, 38.8392857142857, 42.8571428571429, 37.5, 30.46875, 39.9553571428571, 47.7678571428571, 32.8125, 57.3660714285714, 39.2857142857143, 43.9732142857143, 23.6607142857143, 30.8035714285714, 44.4196428571429, 54.4642857142857, 36.6071428571429, 31.0267857142857, 38.1696428571429, 59.8214285714286, 76.7857142857143, 34.8214285714286, 28.7946428571429, 60.7142857142857, 12.0535714285714, 43.3035714285714, 24.7767857142857, 16.9642857142857, 47.4330357142857, 47.5446428571429, 58.2589285714286, 51.5625
Kdkf, 17.8571428571429, 15.5133928571429, 33.9285714285714, 33.9285714285714, 20.9821428571429, 31.1383928571429, 31.9196428571429, 34.8214285714286, 0, 14.2857142857143, 0.558035714285714, 8.03571428571428, 12.9464285714286, 8.03571428571428, 21.875, 7.47767857142857, 22.0982142857143, 2.23214285714286, 19.1964285714286, 14.5089285714286, 35.0446428571429, 10.0446428571429, 12.9464285714286, 4.57589285714286, 26.7857142857143, 65.8482142857143, 35.7142857142857, 34.375, 18.0803571428571, 28.5714285714286, 30.1339285714286, 20.7589285714286, 50.4464285714286, 30.8035714285714, 39.7321428571429, 11.8303571428571, 19.6428571428571, 22.5446428571429, 51.7857142857143, 8.70535714285714, 33.7053571428571, 44.8660714285714, 5.58035714285714, 6.02678571428571, 16.2946428571429, 22.3214285714286, 47.3214285714286, 14.7321428571429, 62.0535714285714, 17.8571428571429, 14.0625, 33.0357142857143, 2.00892857142857, 16.0714285714286, 12.9464285714286
Knrjuc, 28.7946428571429, 16.5178571428571, 16.5178571428571, 0, 1.78571428571429, 64.7321428571428, 34.5982142857143, 7.14285714285714, 14.2857142857143, 0, 28.7946428571429, 9.82142857142857, 33.2589285714286, 1.78571428571429, 0, 11.6071428571429, 2.23214285714286, 17.8571428571429, 18.75, 13.3928571428571, 10.6026785714286, 16.9642857142857, 30.5803571428571, 33.0357142857143, 5.46875, 17.6339285714286, 17.4107142857143, 18.75, 2.67857142857143, 0.223214285714286, 16.5178571428571, 7.58928571428571, 33.9285714285714, 14.0625, 0.446428571428571, 11.6071428571429, 17.4107142857143, 5.35714285714286, 11.1607142857143, 30.3571428571429, 22.9910714285714, 36.6071428571429, 26.7857142857143, 8.03571428571428, 7.14285714285714, 62.9464285714286, 29.6875, 24.1071428571429, 18.75, 37.9464285714286, 29.9107142857143, 10.7142857142857, 11.8303571428571, 16.5178571428571, 6.25
