ISC 76, Asmp, Chienn, Dwhr, Dzct, Fgmwbz, Fuxtax, Fwrtu, Gfpumc, Imkp, Jhhm, Kdkf, Kskwi, Lwuzf, Mxkah, Nepk, Omoxmm, Pdds, Puycrw, Quha, Sion, Snwid, Sved, Ucjm, Udbgt, Ukyq, Vcfpi, Zsvsib, Bmxhcu, Yrqqw, Lzihpl, Dxgxa, Vugl, Xxabu, Lxjh, Vqahhq, Badadf, Kcax, Rkfn, Kxxe, Mvki, Bgwkys, Wpruf, Whuhqu, Pndyf, Zfxe, Ynaysn, Jpow, Albfdc, Ofnqni, Qiqzn, Vpnhw, Wjrv, Zjmch, Knrjuc, Ldlszf
Kdkf, 14.0625, 26.5625, 7.58928571428571, 13.6160714285714, 31.0267857142857, 34.8214285714286, 1.5625, 10.7142857142857, 14.5089285714286, 64.2857142857143, 0, 15.7366071428571, 18.5267857142857, 14.5089285714286, 35.15625, 17.2991071428571, 18.4151785714286, 45.9821428571429, 13.7276785714286, 19.6428571428571, 39.3973214285714, 32.7008928571429, 29.6875, 7.92410714285714, 11.9419642857143, 18.3035714285714, 13.3928571428571, 29.4642857142857, 35.2678571428571, 9.59821428571428, 34.2633928571429, 9.04017857142857, 12.2767857142857, 14.5089285714286, 40.4017857142857, 10.2678571428571, 52.5669642857143, 8.37053571428571, 17.1875, 42.96875, 14.84375, 35.2678571428571, 23.2142857142857, 3.34821428571429, 37.5, 18.4151785714286, 56.5848214285714, 38.7276785714286, 22.8794642857143, 21.7633928571429, 18.3035714285714, 31.9196428571429, 36.8303571428571, 41.0714285714286, 19.6428571428571
Kskwi, 31.1383928571429, 38.0580357142857, 6.80803571428571, 33.4821428571429, 39.5089285714286, 27.2321428571429, 14.7321428571429, 39.0625, 29.6875, 42.8571428571429, 15.7366071428571, 0, 45.4241071428571, 15.2901785714286, 28.5714285714286, 40.625, 49.7767857142857, 31.6964285714286, 43.3035714285714, 31.9196428571429, 45.5357142857143, 37.5, 20.3125, 33.9285714285714, 18.0803571428571, 44.0848214285714, 7.36607142857143, 24.8883928571429, 32.8125, 12.2767857142857, 35.2678571428571, 29.2410714285714, 26.5625, 27.2321428571429, 23.9955357142857, 39.2857142857143, 12.5, 44.6428571428571, 39.9553571428571, 38.6160714285714, 24.5535714285714, 18.1919642857143, 23.4375, 42.1875, 39.7321428571429, 27.34375, 54.9107142857143, 34.8214285714286, 40.0669642857143, 34.1517857142857, 39.0625, 30.3571428571429, 51.2276785714286, 10.2678571428571, 13.3928571428571
Lwuzf, 9.15178571428571, 40.5133928571429, 2.90178571428571, 16.2946428571429, 30.46875, 15.4017857142857, 36.9419642857143, 20.7589285714286, 22.0982142857143, 14.5089285714286, 18.5267857142857, 45.4241071428571, 0, 14.6205357142857, 30.3571428571429, 9.70982142857143, 47.0982142857143, 11.8303571428571, 33.3705357142857, 39.0625, 23.3258928571429, 18.0803571428571, 10.0446428571429, 17.6339285714286, 37.1651785714286, 28.2366071428571, 16.5178571428571, 23.6607142857143, 16.5178571428571, 11.3839285714286, 9.82142857142857, 53.6830357142857, 15.7366071428571, 13.28125, 18.9732142857143, 20.9821428571429, 10.2678571428571, 17.5223214285714, 9.82142857142857, 26.5625, 36.6071428571429, 24.1071428571429, 22.7678571428571, 25.6696428571429, 19.0848214285714, 40.8482142857143, 16.2946428571429, 13.7276785714286, 23.6607142857143, 53.5714285714286, 17.6339285714286, 29.0178571428571, 34.375, 19.4196428571429, 23.9955357142857
Mxkah, 3.125, 15.4017857142857, 22.0982142857143, 9.04017857142857, 28.7946428571429, 5.35714285714286, 9.375, 4.6875, 27.7901785714286, 13.3928571428571, 14.5089285714286, 15.2901785714286, 14.6205357142857, 0, 15.7366071428571, 8.92857142857143, 7.58928571428571, 46.5401785714286, 38.28125, 9.375, 18.0803571428571, 26.5625, 4.12946428571429, 25, 26.1160714285714, 15.4017857142857, 17.7455357142857, 7.14285714285714, 38.8392857142857, 19.53125, 48.8839285714286, 16.0714285714286, 16.9642857142857, 27.2321428571429, 13.3928571428571, 14.9553571428571, 24.7767857142857, 11.1607142857143, 36.9419642857143, 17.96875, 44.4196428571429, 19.0848214285714, 27.34375, 5.80357142857143, 9.15178571428571, 41.5178571428571, 12.0535714285714, 14.0625, 15.5133928571429, 14.2857142857143, 6.91964285714286, 10.0446428571429, 5.13392857142857, 16.9642857142857, 33.7053571428571
Nepk, 15.8482142857143, 16.9642857142857, 0, 25.1116071428571, 25, 24.7767857142857, 16.9642857142857, 42.8571428571429, 15.625, 36.3839285714286, 35.15625, 28.5714285714286, 30.3571428571429, 15.7366071428571, 0, 20.5357142857143, 37.3883928571429, 15.4017857142857, 18.3035714285714, 10.7142857142857, 39.2857142857143, 20.3125, 14.5089285714286, 19.8660714285714, 3.57142857142857, 20.9821428571429, 26.7857142857143, 3.79464285714286, 12.1651785714286, 39.84375, 35.6026785714286, 23.6607142857143, 4.46428571428571, 41.5178571428571, 13.8392857142857, 47.3214285714286, 30.1339285714286, 47.3214285714286, 6.69642857142857, 41.9642857142857, 8.92857142857143, 17.6339285714286, 1.78571428571429, 0, 6.25, 22.0982142857143, 26.6741071428571, 7.58928571428571, 44.1964285714286, 37.0535714285714, 39.84375, 35.15625, 48.6607142857143, 30.8035714285714, 15.625
Omoxmm, 36.1607142857143, 10.15625, 9.82142857142857, 13.3928571428571, 8.48214285714286, 17.4107142857143, 23.6607142857143, 14.9553571428571, 27.2321428571429, 48.6607142857143, 17.2991071428571, 40.625, 9.70982142857143, 8.92857142857143, 20.5357142857143, 0, 19.1964285714286, 26.1160714285714, 41.2946428571429, 6.25, 39.7321428571429, 2.90178571428571, 21.4285714285714, 5.13392857142857, 10.9375, 15.4017857142857, 13.3928571428571, 29.9107142857143, 5.35714285714286, 16.0714285714286, 22.0982142857143, 11.6071428571429, 6.02678571428571, 22.3214285714286, 29.0178571428571, 24.7767857142857, 12.9464285714286, 13.6160714285714, 2.67857142857143, 15.1785714285714, 18.5267857142857, 4.46428571428571, 21.6517857142857, 50, 33.9285714285714, 5.35714285714286, 12.9464285714286, 14.5089285714286, 37.9464285714286, 12.0535714285714, 53.125, 3.34821428571429, 29.9107142857143, 16.9642857142857, 23.8839285714286
Pdds, 42.8571428571429, 17.6339285714286, 7.58928571428571, 45.0892857142857, 33.2589285714286, 31.9196428571429, 42.2991071428571, 21.875, 26.0044642857143, 12.2767857142857, 18.4151785714286, 49.7767857142857, 47.0982142857143, 7.58928571428571, 37.3883928571429, 19.1964285714286, 0, 39.2857142857143, 24.6651785714286, 26.5625, 44.1964285714286, 44.0848214285714, 28.4598214285714, 34.8214285714286, 10.4910714285714, 51.6741071428571, 8.92857142857143, 49.5535714285714, 23.2142857142857, 22.9910714285714, 26.3392857142857, 45.2008928571429, 29.0178571428571, 20.3125, 20.9821428571429, 35.6026785714286, 8.25892857142857, 35.7142857142857, 28.0133928571429, 12.0535714285714, 10.7142857142857, 37.5, 21.4285714285714, 33.3705357142857, 15.0669642857143, 30.1339285714286, 29.7991071428571, 18.3035714285714, 33.0357142857143, 19.6428571428571, 47.0982142857143, 66.5178571428571, 46.875, 32.8125, 22.2098214285714
Puycrw, 6.02678571428571, 43.1919642857143, 24.6651785714286, 16.1830357142857, 53.125, 21.09375, 37.0535714285714, 24.5535714285714, 48.2142857142857, 27.4553571428571, 45.9821428571429, 31.6964285714286, 11.8303571428571, 46.5401785714286, 15.4017857142857, 26.1160714285714, 39.2857142857143, 0, 43.3035714285714, 36.3839285714286, 60.4910714285714, 25.8928571428571, 19.4196428571429, 20.0892857142857, 12.5, 23.6607142857143, 29.9107142857143, 45.3125, 69.53125, 24.3303571428571, 54.9107142857143, 3.57142857142857, 8.92857142857143, 60.9375, 61.1607142857143, 41.0714285714286, 39.7321428571429, 27.2321428571429, 42.1875, 19.6428571428571, 45.0892857142857, 26.7857142857143, 55.5803571428571, 28.125, 38.1696428571429, 60.7142857142857, 43.75, 47.8794642857143, 34.9330357142857, 19.4196428571429, 24.1071428571429, 21.4285714285714, 12.9464285714286, 35.4910714285714, 25.4464285714286
Quha, 39.2857142857143, 50, 14.5089285714286, 13.5044642857143, 43.75, 22.5446428571429, 39.2857142857143, 15.4017857142857, 48.4375, 28.5714285714286, 13.7276785714286, 43.3035714285714, 33.3705357142857, 38.28125, 18.3035714285714, 41.2946428571429, 24.6651785714286, 43.3035714285714, 0, 20.6473214285714, 52.9017857142857, 19.4196428571429, 32.8125, 18.75, 35.7142857142857, 8.25892857142857, 44.4196428571429, 41.9642857142857, 30.5803571428571, 53.5714285714286, 43.75, 43.75, 51.5625, 76.1160714285714, 36.2723214285714, 43.5267857142857, 52.6785714285714, 10.0446428571429, 14.6205357142857, 38.1696428571429, 52.2321428571429, 33.1473214285714, 28.7946428571429, 40.7366071428571, 47.7678571428571, 32.5892857142857, 30.3571428571429, 50.1116071428571, 33.2589285714286, 42.8571428571429, 52.0089285714286, 23.4375, 17.6339285714286, 4.24107142857143, 47.7678571428571
Sion, 27.5669642857143, 42.6339285714286, 4.91071428571429, 38.7276785714286, 10.9375, 36.0491071428571, 57.1428571428571, 53.125, 25.6696428571429, 22.0982142857143, 19.6428571428571, 31.9196428571429, 39.0625, 9.375, 10.7142857142857, 6.25, 26.5625, 36.3839285714286, 20.6473214285714, 0, 51.8973214285714, 52.9017857142857, 15.8482142857143, 7.8125, 32.7008928571429, 14.84375, 23.8839285714286, 38.3928571428571, 24.1071428571429, 32.8125, 0.111607142857143, 51.1160714285714, 25.2232142857143, 5.80357142857143, 32.3660714285714, 16.9642857142857, 8.48214285714286, 35.15625, 14.9553571428571, 41.5178571428571, 45.0892857142857, 36.8303571428571, 39.9553571428571, 54.2410714285714, 17.1875, 55.1339285714286, 16.9642857142857, 18.9732142857143, 21.4285714285714, 35.0446428571429, 7.14285714285714, 26.5625, 22.0982142857143, 33.9285714285714, 17.4107142857143
